Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.1.hdf,5705.444444,292.5555556,17.77777778,330.4444444,437.2222222,26.84626007,80.91584015
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.2.hdf,6512.888889,259.1111111,2.222222222,270.3333333,553.1111111,26.84679985,81.11366272
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.3(Part 2).hdf,6591.555556,213.2222222,16.66666667,246.3333333,682.3333333,26.84619331,80.95991516
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.3(Part 1).hdf,6713.333333,531.2222222,35.55555556,331.2222222,787.5555556,26.84564972,80.92491913
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.4.hdf,4563.222222,273.8888889,4.444444444,284.7777778,800,26.84707069,80.99954987
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.5.hdf,7307.333333,266.1111111,0,298.6666667,520.3333333,26.84667397,80.98794556
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.6.hdf,4865.666667,336.6666667,121.1111111,71.88888889,800,26.84662819,81.06666565
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.7(Part 1).hdf,6907.777778,0,444.4444444,0,0,26.85019302,80.94235229
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.7(Part 2).hdf,7045.777778,163.4444444,3.333333333,199.8888889,0,26.84691429,80.99656677
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.8.hdf,5490.111111,317.4444444,343.3333333,0,400,26.84644699,80.96536255
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.9.hdf,6633.111111,560.2222222,0,466.6666667,800,26.84698486,80.90679169
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.10.hdf,6242.222222,169.2222222,4.444444444,188.7777778,552.3333333,26.84488869,80.9998703
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.11(Part 2).hdf,4632.333333,232.7777778,210,214.4444444,800,26.84650803,79.14678955
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.11(Part 1).hdf,3206.333333,158.6666667,94.22222222,-0.222222222,293.5555556,26.84686279,81.43943024
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.12.hdf,7190.666667,0,444.4444444,0,0,26.84664726,80.97349548
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.13.hdf,4753.888889,189.3333333,32.22222222,156.4444444,800,26.84693909,81.09164429
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.14.hdf,7334.666667,131.3333333,0,131.3333333,0,26.8468914,80.90852356
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.15(Part 1).hdf,5247.333333,212.1111111,0,206.5555556,800,26.8465023,81.03623962
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.15(Part 2).hdf,5162.666667,328.5555556,353.3333333,0,573.4444444,26.84680367,80.9362793
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.16.hdf,6815,437.8888889,162.2222222,77.44444444,348.1111111,26.84672546,80.99139404
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.17.hdf,5875.666667,358.5555556,337.7777778,0,243.4444444,26.84657288,80.91281891
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.18.hdf,6484,218.1111111,1.111111111,200.2222222,0,26.84703827,81.0959549
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.19(Part 1).hdf,6960,268.8888889,144.4444444,218.1111111,10.22222222,26.84696198,80.90241241
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.19(Part 2).hdf,6821.777778,264.1111111,0,264.1111111,0,26.84630966,80.91458893
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.20(Part 2).hdf,4711.333333,95.22222222,172.2222222,76.88888889,800,26.8467598,80.22042847
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.4.20(Part 1).hdf,1600.333333,230.3333333,86.33333333,-0.333333333,98.22222222,26.84692383,82.75662994
