Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.1(Part 2).hdf,4721.888889,0,444.4444444,0,0,26.83130455,79.55361176
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.1(Part 1).hdf,3217,-0.222222222,222,-0.222222222,-0.222222222,26.84677315,81.50667572
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.2(Part 2).hdf,7345,0,444.4444444,0,0,26.84641266,80.9874115
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.2(Part 1).hdf,7464,0,444.4444444,0,0,26.84718513,80.90629578
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.3.hdf,4859.444444,0,444.4444444,0,0,26.84644699,81.06037903
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.4.hdf,7591.555556,0,444.4444444,0,0,26.84676361,80.9606781
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.5.hdf,5251.111111,0,444.4444444,0,0,26.84688377,80.9344101
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.6(Part 1).hdf,6932.444444,0,444.4444444,0,0,26.8464222,80.83813477
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.6(Part 2).hdf,6879.888889,0,444.4444444,0,0,26.84786034,81.04916382
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.6(Part 3).hdf,4710,0,444.4444444,0,0,26.84644318,74.48510742
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.7.hdf,5789.777778,0,444.4444444,0,0,26.84661484,81.01239014
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.8.hdf,6541.555556,0,444.4444444,0,0,26.84708405,80.78746796
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.9.hdf,6811.222222,0,444.4444444,0,0,26.84734726,80.99337006
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.10(part 1).hdf,3225.555556,-0.222222222,222,-0.222222222,-0.222222222,26.8465004,82.68331909
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.10(Part 2).hdf,4697.777778,0,444.4444444,0,0,26.84676743,80.72080231
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.11.hdf,7698.666667,0,444.4444444,0,0,26.84619141,80.9500885
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.12.hdf,4947,0,444.4444444,0,0,26.84653091,80.96979523
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.13(Part 1).hdf,7111,0,444.4444444,0,0,26.84632111,80.86301422
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.13(part 2).hdf,4689.888889,0,444.4444444,0,0,26.8463707,72.90139771
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.14.hdf,5537.888889,0,444.4444444,0,0,26.84669304,81.00997162
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.15.hdf,6713.333333,0,444.4444444,0,0,26.84675217,80.97323608
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.16.hdf,6252.777778,0,444.4444444,0,0,26.84677887,80.94039917
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.17(Part 2).hdf,4674.222222,0,444.4444444,0,0,26.84484291,79.41098785
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.17(Part 1).hdf,3223.111111,-0.222222222,222,-0.222222222,-0.222222222,26.84695244,81.1927948
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.18(Part 2).hdf,7269.444444,0,444.4444444,0,0,26.8458786,80.89994812
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.18(Part 1).hdf,7290,0,444.4444444,0,0,26.84648895,80.90655518
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.19.hdf,4810.555556,0,444.4444444,0,0,26.84675789,80.95348358
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.20.hdf,7414.777778,0,444.4444444,0,0,26.84579659,80.8903656
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.21.hdf,5199.222222,0,444.4444444,0,0,26.84648514,80.86632538
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.22(Part 1).hdf,6891.666667,0,444.4444444,0,0,26.84689331,81.04920959
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.22(Part 2).hdf,6894,0,444.4444444,0,0,26.84661865,81.0160141
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.23.hdf,5859.777778,0,444.4444444,0,0,26.84669685,80.89398193
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.24.hdf,6524.888889,0,444.4444444,0,0,26.84675598,80.82861328
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.25.hdf,6748.111111,0,444.4444444,0,0,26.84687614,80.90794373
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.26(Part 2).hdf,4655.666667,0,444.4444444,0,0,26.84692001,80.55426788
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.26(Part 1).hdf,3213.333333,-0.222222222,222,-0.222222222,-0.222222222,26.84704208,82.79531097
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.27.hdf,7431.222222,0,444.4444444,0,0,26.84654808,80.9349823
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.28.hdf,4930.666667,0,444.4444444,0,0,26.84685135,80.96031189
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.8.29(Part 2).hdf,4639.444444,0,444.4444444,0,0,26.84716988,73.27497864
