Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.1.hdf,4435.444444,237.3333333,0,327,361.2222222,26.84664917,80.84007263
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.2.hdf,5962.222222,12.88888889,205.5555556,0,666.6666667,26.84672356,80.99006653
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.3.hdf,6067.777778,380.3333333,0,364.1111111,800,26.84823227,81.02544403
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.4.hdf,4783.444444,0,444.4444444,0,0,26.84618378,80.92565918
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.5.hdf,5950.555556,353.5555556,0,353.3333333,800,26.84671974,80.8535614
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.6.hdf,5337.111111,348.7777778,14.44444444,344.8888889,168.2222222,26.84696388,80.97894287
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.7(Part 2).hdf,4186.777778,49.22222222,0,102.6666667,666.6666667,26.84670448,78.88323975
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.7.hdf,2933.222222,158.8888889,-0.222222222,187.8888889,399.7777778,26.84730911,81.29803467
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.8.hdf,5882,337.2222222,0,317.8888889,494.1111111,26.84646034,80.9813385
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.9.hdf,4260.777778,136,4.444444444,234.4444444,362.3333333,26.84675217,80.78842163
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.10.hdf,6011.444444,156.5555556,0,181.3333333,50.33333333,26.84642029,80.96350098
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.11.hdf,4541.555556,659.7777778,0,0,800,26.84589005,81.00663757
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.12.hdf,5908.888889,0,444.4444444,0,0,26.8467865,80.95541382
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.1.hdf,6033.555556,540.5555556,54.44444444,457.4444444,734.3333333,26.846838,80.92288208
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.13.hdf,4998,892.8888889,12.22222222,0,800,26.84725761,80.90122986
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.14.hdf,5912.777778,503,0,576.3333333,800,26.84679413,81.00801849
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.14(Part 2).hdf,4109.111111,238.4444444,2.222222222,150.5555556,578.3333333,26.85046768,78.00705719
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.15.hdf,2798,138.2222222,-0.222222222,128.1111111,164.5555556,26.82038307,80.96790314
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/December/2018.12.15(Part 2).hdf,5604.222222,283,7.777777778,267.7777778,334.7777778,26.84597588,80.98431396
