Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.1.hdf,4306.444444,40.44444444,4.444444444,67.55555556,666.6666667,26.84661865,80.94760132
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.2(Part 1).hdf,6370,231.1111111,0,273.4444444,600.7777778,26.84571075,81.02215576
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.2(Part 2).hdf,3191.666667,82.11111111,-0.222222222,121.2222222,224.7777778,26.85010338,80.95194244
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.3.hdf,4779.777778,260.3333333,0,313.1111111,295.6666667,26.84677124,80.98747253
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.4.hdf,6299.888889,115.6666667,0,148.1111111,411.8888889,26.84658813,80.96498108
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.5.hdf,5434.333333,81,424.4444444,0,149.8888889,26.84662628,80.93682861
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.6(Part 1).hdf,3114.444444,-0.222222222,222,-0.222222222,-0.222222222,26.84621429,81.37464142
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.6(Part 2).hdf,4085.555556,0,444.4444444,0,0,26.84651566,79.22337341
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.7.hdf,6170.777778,0,444.4444444,0,0,26.84750366,80.93598938
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.8.hdf,4204.777778,152,1.111111111,263.5555556,800,26.84708023,80.99836731
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.9.hdf,6469.333333,51.22222222,0,116.5555556,666.6666667,26.84673119,80.93766785
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.10.hdf,4538.222222,56,122.2222222,42.11111111,700,26.84573364,81.01319885
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.11.hdf,6437.222222,0,444.4444444,0,0,26.84750938,81.03942871
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.12.hdf,5176.666667,0,444.4444444,0,0,26.84696007,80.89087677
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.13(Part 1).hdf,6304.555556,192.1111111,373.3333333,0,400,26.84713554,80.75282288
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.13(Part 2).hdf,4099,0,444.4444444,0,0,26.84717369,78.2738266
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.14(Part 2).hdf,2947.222222,96,-0.222222222,150,399.7777778,26.70161629,80.96725464
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.14(Part 1).hdf,5945,113.4444444,33.33333333,141.5555556,628.2222222,26.84613609,80.92877197
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.15.hdf,4124.555556,82,2.222222222,98.11111111,766.6666667,26.84669495,81.07533264
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.16.hdf,6505.555556,130.8888889,0,262.3333333,800,26.84681511,80.92690277
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.17.hdf,4434.222222,310.3333333,206.6666667,0,768,26.84652138,81.03681183
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.18(Part 2).hdf,6582.444444,248,0,323.1111111,399.6666667,26.84504318,80.92313385
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.18(Part 1).hdf,6513.555556,154.2222222,1.111111111,218.4444444,800,26.84649086,80.85597229
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.19.hdf,4917,198.7777778,38.88888889,110.5555556,535.3333333,26.84650612,80.97190857
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.20.hdf,6385.555556,35.33333333,1.111111111,112,666.6666667,26.84678459,80.97177124
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.21.hdf,5591.777778,175.5555556,38.88888889,164.8888889,205.6666667,26.84656906,80.95603943
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.22(Part 1).hdf,4204.222222,56.11111111,28.88888889,84.55555556,666.6666667,26.84662056,78.81179047
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.22(Part 2).hdf,3163.333333,228.8888889,5.333333333,232.5555556,399.7777778,26.84636497,81.51509094
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.23.hdf,6406.444444,340.2222222,0,391.6666667,265.4444444,26.84670258,80.97158051
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.24.hdf,4341.888889,205.8888889,11.11111111,338.8888889,800,26.84644699,80.89606476
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.25.hdf,6719.555556,144.4444444,395.5555556,0,200,26.84681511,80.96644592
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.26.hdf,4692.555556,61,11.11111111,67.88888889,666.6666667,26.84675407,81.02420807
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.27.hdf,6618.777778,226.5555556,3.333333333,45.77777778,568.2222222,26.84668159,80.94607544
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.2.28.hdf,5352.777778,256.4444444,0,339.1111111,605.6666667,26.84701538,80.9280014
