Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.1.hdf,6063.111111,0,444.4444444,0,0,26.84626007,80.89996338
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.1(Second).hdf,3047.555556,-0.222222222,222,-0.222222222,-0.222222222,26.84530067,80.92988586
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.2.hdf,4658.888889,1199.222222,308.8888889,0,800,26.84666061,81.01690674
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.3.hdf,6010.777778,0,444.4444444,0,0,26.84665489,81.05200195
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.4.hdf,5288,0,444.4444444,0,0,26.84674454,80.94586945
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.5(Part1).hdf,2970.888889,33.22222222,128.6666667,-0.222222222,331.2222222,26.84668541,81.56777954
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.5(Part2).hdf,4054.666667,68.66666667,0,147.5555556,585.6666667,26.84631538,78.9539032
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.6.hdf,5876.888889,313.6666667,385.5555556,0,400,26.84639931,80.93511963
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.7.hdf,4129.111111,78.44444444,2.222222222,167.3333333,719.8888889,26.84854317,80.93074036
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.8.hdf,6124.777778,0,444.4444444,0,0,26.8446312,80.93698883
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.9.hdf,4442.555556,242.6666667,0,307.2222222,800,26.84631157,80.94171906
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.10.hdf,6123,0,444.4444444,0,0,26.84658051,81.02291107
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.11.hdf,4989.555556,0,444.4444444,0,0,26.8462429,80.89265442
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.12(part 2).hdf,4006.777778,105.1111111,3.333333333,210.8888889,487.7777778,26.84430122,78.15202332
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.12(Part 1).hdf,6018.333333,0,444.4444444,0,0,26.84703064,80.84837341
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.13(Part2).hdf,2802.777778,179.4444444,-0.222222222,205,246.3333333,26.72880363,80.96938324
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.13(Part1).hdf,5619.777778,597.3333333,107.7777778,254.2222222,749.7777778,26.84643364,80.91497803
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.14.hdf,4016.333333,219.4444444,5.555555556,315,800,26.84700394,81.04821777
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.15.hdf,6108.666667,634.4444444,107.7777778,306.5555556,800,26.84687996,80.95095825
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.16.hdf,4267.777778,72.77777778,3.333333333,144.6666667,630.8888889,26.84603691,80.85803986
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.17(Part 2).hdf,6228,327.5555556,433.3333333,0,200,26.84675407,80.85861206
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.17(Part 1).hdf,6139.111111,30.77777778,45.55555556,46.66666667,666.6666667,26.84656906,80.95346069
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.18.hdf,4656.555556,58,6.666666667,85.55555556,650.2222222,26.84681511,81.01596069
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.19.hdf,6133.333333,0,444.4444444,0,0,26.84704018,81.06375122
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.20.hdf,5297.888889,245.1111111,21.11111111,221.4444444,366.7777778,26.84650803,80.96185303
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.21(Part2).hdf,4025.444444,145,0,321.2222222,800,26.84675217,79.41555786
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.21(Part 1).hdf,3051,480.3333333,26.44444444,672,399.7777778,26.84649467,81.32949829
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.22.hdf,5981.555556,175.1111111,0,242.8888889,767.1111111,26.8470974,80.97718048
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.23.hdf,4114.444444,121.6666667,0,238.7777778,800,26.84654617,81.12602234
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.24.hdf,6243.111111,224.3333333,1.111111111,251.3333333,628.4444444,26.84674454,80.96180725
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.25.hdf,4478.333333,0,444.4444444,0,0,26.84677124,81.03565979
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.26.hdf,6240,0,444.4444444,0,0,26.84677315,80.91604614
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.27.hdf,5026.777778,315.2222222,0,398.7777778,657.5555556,26.84659576,80.94069672
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.28(Part 1).hdf,6164,0,444.4444444,0,0,26.84676743,80.78422546
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.28(Part 2).hdf,4020.444444,151.5555556,1.111111111,309.5555556,800,26.8466568,78.30578613
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.29(Part 2).hdf,2860.555556,60.22222222,-0.222222222,76.77777778,24.33333333,26.61367989,80.9487915
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.29(Part 1).hdf,5758.777778,0,444.4444444,0,0,26.84695816,80.9908371
30,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.30.hdf,4054.888889,66.77777778,0,121.8888889,601.3333333,26.84706688,80.80536652
31,/Users/nimishmishra/Downloads/Kanpur MODIS Data/January/2018.1.31.hdf,6269.111111,263.2222222,0,311.3333333,790.1111111,26.84651184,80.93611145
