Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.1(Part 1).hdf,7528,0,444.4444444,0,0,26.84738159,80.94386292
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.1(Part 2).hdf,7490.555556,0,444.4444444,0,0,26.84488678,80.95846558
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.2.hdf,4890.888889,0,444.4444444,0,0,26.84851837,80.9574585
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.3.hdf,7464.222222,0,444.4444444,0,0,26.84623337,80.96528625
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.4.hdf,5282.444444,65.66666667,424.4444444,0,200,26.84687805,80.97480011
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.5(Part 3).hdf,4810.333333,0,444.4444444,0,0,26.84717751,74.24819946
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.5(Part 2).hdf,6855.888889,423.5555556,0,348.1111111,0,26.84696007,80.88580322
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.5(Part 1).hdf,6820.111111,353.1111111,267.7777778,0,600,26.84778404,80.95157623
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.6.hdf,6141.666667,213.6666667,382.2222222,0,211.3333333,26.84667587,80.95830536
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.7.hdf,6465.111111,591.5555556,0,649.5555556,580.6666667,26.84646416,80.83007813
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.8.hdf,6931.333333,350.3333333,213.3333333,370.5555556,600,26.84675598,80.95896149
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.9(Part 2).hdf,4798.222222,0,444.4444444,0,0,26.84713364,80.40717316
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.9(Part 1).hdf,3190.222222,-0.222222222,222,-0.222222222,-0.222222222,26.84689713,82.60203552
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.10.hdf,7913.555556,0,444.4444444,0,0,26.84665871,80.97142792
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.11.hdf,5008.555556,0,444.4444444,0,0,26.84669113,81.06217194
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.12(Part 2).hdf,4787.777778,33.66666667,344.4444444,0,366.6666667,26.85044861,73.26927185
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.12(Part 1).hdf,7130.222222,0,444.4444444,0,0,26.84682846,80.88126373
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.13(Part 1).hdf,2735.555556,-0.222222222,222,-0.222222222,-0.222222222,26.47497177,81.01837921
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.13(Part 2).hdf,5544.222222,0,444.4444444,0,0,26.84670258,80.95540619
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.14.hdf,6667.111111,0,444.4444444,0,0,26.84672546,80.98376465
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.15.hdf,6368.333333,0,444.4444444,0,0,26.84667015,80.92103577
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.16(Part 1).hdf,3200.333333,-0.222222222,222,-0.222222222,-0.222222222,26.84632301,81.35404205
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.16(Part 2).hdf,4774.555556,299.7777778,315.5555556,0,800,26.82378197,79.54827881
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.17(Part 2).hdf,7480.444444,229,311.1111111,0,58.66666667,26.84669685,80.91223145
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.17(Part 1).hdf,7409,0,444.4444444,0,0,26.8485527,80.98371124
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.18.hdf,4842.555556,0,444.4444444,0,0,26.84667969,80.85688019
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.19.hdf,7429.777778,111.5555556,402.2222222,0,400,26.84719849,80.87358093
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.20.hdf,5233,0,444.4444444,0,0,26.84670258,81.03907013
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.21(Part 1).hdf,6940.888889,0,444.4444444,0,0,26.8467598,81.04138184
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.21(Part 3).hdf,4760.111111,0,444.4444444,0,0,26.84661865,74.3445282
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.21(Part 2).hdf,6863.333333,0,444.4444444,0,0,26.84679604,81.00960541
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.22.hdf,6016.888889,0,444.4444444,0,0,26.84720039,80.96034241
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.23.hdf,6512,0,444.4444444,0,0,26.84714699,80.89880371
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.24.hdf,6947.777778,0,444.4444444,0,0,26.84664917,80.9617157
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.25(Part 2).hdf,4780.222222,0,444.4444444,0,0,26.84667206,80.74925232
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.25(Part 1).hdf,3213.666667,-0.222222222,222,-0.222222222,-0.222222222,26.84716988,82.6266861
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.26.hdf,7860.444444,0,444.4444444,0,0,26.84673691,80.92608643
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.27.hdf,4995.333333,0,444.4444444,0,0,26.84814072,80.87584686
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.28(Part 1).hdf,7207.555556,0,444.4444444,0,0,26.84653091,80.89032745
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.28(Part 2).hdf,4736.888889,0,444.4444444,0,0,26.84546661,73.04244232
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.29(Part 2).hdf,5493.888889,0,444.4444444,0,0,26.8466053,80.94225311
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.29(Part 1).hdf,2711.444444,-0.222222222,222,-0.222222222,-0.222222222,26.42266464,81.00463104
30,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.30.hdf,6705.111111,0,444.4444444,0,0,26.84686279,81.08283997
31,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.7.31.hdf,6383.222222,0,444.4444444,0,0,26.84623337,80.94591522
