Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.1.hdf,7374.555556,0,444.4444444,0,0,26.84637642,80.88723755
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.2.hdf,5372.888889,344.8888889,154.4444444,157.4444444,793.6666667,26.84713745,80.94270325
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.3(part 1).hdf,6762.666667,470.4444444,1.111111111,396.7777778,86.66666667,26.84678268,80.8716507
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.3(Part 2).hdf,6799.333333,433.5555556,0,364.1111111,13.11111111,26.84695053,80.98577118
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.3(Part 3).hdf,4867.222222,59.55555556,6.666666667,59.55555556,666.6666667,26.84666824,74.54076385
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.4.hdf,5986.777778,322,286.6666667,0,446.5555556,26.84682465,81.01268005
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.5.hdf,6402.444444,491.4444444,6.666666667,496.7777778,725.2222222,26.8465004,80.88490295
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.6.hdf,7069.222222,211.5555556,0,360,800,26.84682846,80.91378784
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.7(Part 2).hdf,4866.111111,481,110,0,800,26.84631729,80.72959137
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.7(Part 1).hdf,3156.222222,249.7777778,-0.222222222,230.8888889,399.7777778,26.84691048,82.65942383
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.8.hdf,7911,0,444.4444444,0,0,26.84667969,80.90260315
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.9.hdf,5153.555556,645.1111111,218.8888889,980.6666667,800,26.84616852,81.06092834
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.10(Part 1).hdf,7091.333333,523.2222222,128.8888889,117.5555556,685.8888889,26.84646034,80.96777344
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.10(part 2).hdf,4863.222222,190.3333333,131.1111111,92.88888889,800,26.84354019,73.39564514
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.11.hdf,5620.666667,286.7777778,68.88888889,210.4444444,496.3333333,26.84620667,80.96908569
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.12.hdf,6588.333333,444.8888889,0,414.6666667,0,26.84594727,80.97809601
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.13.hdf,6484.888889,820.4444444,201.1111111,0,0,26.84636307,80.95355225
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.14(Part 2).hdf,4858.444444,688.5555556,141.1111111,688.5555556,185.6666667,26.84869766,79.60662842
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.14(part 1).hdf,3159.555556,571.7777778,-0.222222222,-0.222222222,-0.222222222,26.8465271,81.02702332
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.15(Part 1).hdf,7563.777778,0,444.4444444,0,0,26.84698105,80.9664917
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.15(Part 2).hdf,7524.888889,593.7777778,78.88888889,0,317.5555556,26.84766769,80.91651917
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.16.hdf,4964.444444,214.1111111,336.6666667,0,600,26.8470993,80.94260406
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.17.hdf,7461.222222,609.2222222,27.77777778,0,0,26.84692955,80.99658203
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.18.hdf,5321.111111,62.55555556,406.6666667,90.55555556,385.3333333,26.84686279,80.89625549
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.19(Part 1).hdf,6779.888889,256.3333333,232.2222222,117.2222222,800,26.84585571,81.01857758
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.19(Part 3).hdf,4850.444444,0,444.4444444,0,0,26.84646034,74.25241089
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.19(part 2).hdf,6815.222222,361,0,200,0,26.8469944,80.91318512
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.20.hdf,6039.666667,311.8888889,18.88888889,219.3333333,38.22222222,26.84665108,80.89884949
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.21.hdf,6457.777778,314.6666667,0,412.8888889,0,26.84685135,81.1024704
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.22.hdf,7118.888889,567.6666667,85.55555556,473.6666667,204.8888889,26.84670258,80.95976257
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.23(Part 2).hdf,4841.888889,163.2222222,321.1111111,44.55555556,779.3333333,26.84671211,80.42385101
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.23(Part 1).hdf,3167.888889,-0.222222222,222,-0.222222222,-0.222222222,26.84635925,82.60519409
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.24.hdf,7913.555556,389.3333333,10,0,487.3333333,26.84669495,80.94350433
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.25.hdf,5162.111111,123.5555556,328.8888889,0,400,26.84657669,81.07369995
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.26(Part 2).hdf,4834.888889,59,426.6666667,0,200,26.84871483,73.11254883
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.26(Part 1).hdf,7084.111111,552.1111111,228.8888889,141.2222222,217.5555556,26.84619904,80.88412476
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.27(Part 1).hdf,2758,-0.222222222,222,-0.222222222,-0.222222222,26.45496178,81.01939392
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.27(Part 2).hdf,5626.777778,222.2222222,383.3333333,0,400,26.84651947,81.02310944
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.28.hdf,6618.666667,0,444.4444444,0,0,26.84710121,80.8374176
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.29.hdf,6414.777778,0,444.4444444,0,0,26.84643364,80.92709351
30,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.30(Part 2).hdf,4824.222222,0,444.4444444,0,0,26.83382225,79.5565033
30,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.6.30(Part 1).hdf,3177,-0.222222222,222,-0.222222222,-0.222222222,26.84626389,81.13430023
