Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.1(Part 1).hdf,6383.666667,37.88888889,12.22222222,86.22222222,666.6666667,26.84630966,80.98394775
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.1(Part 2).hdf,4231.333333,83.88888889,125.5555556,38.55555556,500,26.84664154,78.08037567
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.2(Part 1).hdf,6166.444444,249.6666667,0,345.7777778,792.7777778,26.84679985,80.91400146
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.2(Part 2).hdf,3057.333333,94.44444444,-0.222222222,133,399.7777778,26.77271652,80.98747253
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.3.hdf,4279.777778,142.1111111,1.111111111,176.5555556,185.4444444,26.84658432,80.78358459
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.4.hdf,6766.111111,273.8888889,20,188.7777778,276.1111111,26.84675598,80.99031067
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.5.hdf,4542.555556,114.1111111,417.7777778,0,200,26.84632492,81.06686401
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.6(Part 2).hdf,6765.333333,65.66666667,0,84.11111111,666.6666667,26.84635925,80.97117615
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.6(Part 1).hdf,6735.666667,140.6666667,0,114.3333333,748.4444444,26.8471508,80.88934326
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.7.hdf,5098,46.11111111,2.222222222,75,666.6666667,26.8462925,80.89363861
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.8.hdf,6549.444444,211.8888889,1.111111111,173.4444444,715.8888889,26.84635544,81.07434082
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.9.hdf,5847.111111,111,0,161.4444444,700,26.84819794,80.91482544
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.10(Part 1).hdf,3208.333333,82.66666667,-0.222222222,90,341.1111111,26.84672737,81.43305206
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.10(Part 2).hdf,4326.555556,69.33333333,152.2222222,83.33333333,587.5555556,26.84668159,79.27966309
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.11.hdf,6669.777778,107.8888889,83.33333333,125.8888889,666.6666667,26.84627151,80.92498779
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.12.hdf,4450.666667,74.88888889,136.6666667,102.2222222,448.6666667,26.84734154,81.02059937
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.13.hdf,6955.111111,218.7777778,11.11111111,99.55555556,481.1111111,26.8459549,80.95144653
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.14.hdf,4912,254.8888889,0,305.5555556,325.6666667,26.8472271,80.92765808
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.15.hdf,6735.222222,769.6666667,235.5555556,96.77777778,800,26.84659195,81.02643585
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.16.hdf,5486.666667,191.8888889,71.11111111,168,19.88888889,26.84706116,80.9379425
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.17(Part 2).hdf,4382.555556,81.11111111,128.8888889,103.1111111,673,26.84397507,78.12095642
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.17(Part 1).hdf,6475.666667,109.7777778,0,107,309.5555556,26.84653091,80.76068115
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.18(Part 2).hdf,6410.888889,141.6666667,151.1111111,23.66666667,333.3333333,26.84621239,80.97592163
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.18(Part 1).hdf,6384.111111,74.66666667,82.22222222,72.88888889,500,26.85257339,80.90551758
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.19.hdf,4406.666667,111.6666667,6.666666667,74.44444444,430.6666667,26.84704018,81.06719208
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.20.hdf,7031.777778,117.4444444,0,144.6666667,666.6666667,26.8456707,80.94662476
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.21.hdf,4735.666667,272.7777778,10,235.3333333,772.1111111,26.84668922,80.90169525
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.22(Part 1).hdf,6919.555556,207.2222222,0,226.7777778,246.7777778,26.84649277,80.94339752
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.22(Part 2).hdf,6879.333333,219.5555556,0,206.2222222,0,26.84729767,80.89617157
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.23.hdf,5231.666667,239,13.33333333,130.2222222,326.1111111,26.84686279,80.99227905
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.24.hdf,6640.333333,171.3333333,0,180.7777778,375.2222222,26.84748077,80.81814575
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.25.hdf,6045.888889,114,110,118.7777778,622,26.84692764,80.91681671
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.26(Part 1).hdf,3218.333333,94.33333333,39.77777778,91.33333333,-0.222222222,26.84633636,81.43465424
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.27.hdf,6955.444444,176.2222222,0,215.8888889,416.4444444,26.84692764,80.9178772
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.28.hdf,4606.888889,103.2222222,266.6666667,97.66666667,558.8888889,26.84664154,81.06852722
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.3.29.hdf,7124.666667,158.2222222,0,138.2222222,775.5555556,26.84623146,80.88059235
