Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.1(Part 2).hdf,5245.666667,88.88888889,217.7777778,81,709.6666667,26.84618378,81.02880096
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.1(Part 1).hdf,5373.222222,222.2222222,0,248.4444444,800,26.84109116,81.02394104
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.2(Part 2).hdf,6795.444444,252,1.111111111,316.2222222,536.1111111,26.84671021,80.97715759
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.2(Part 1).hdf,3421.666667,166.5555556,-0.222222222,76.88888889,66.11111111,26.84992027,80.92631531
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.3.hdf,5902.333333,233.4444444,207.7777778,190.1111111,727.1111111,26.84695435,80.9864502
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.4.hdf,6445.222222,136.2222222,381.1111111,0,106.7777778,26.84643936,80.99119568
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.5.hdf,6909.666667,346.6666667,25.55555556,138.1111111,297.8888889,26.84694099,80.92625427
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.6(Part 1).hdf,3175.666667,259.1111111,160.8888889,-0.222222222,399.7777778,26.84643555,82.78768921
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.6(Part 2).hdf,4801.555556,307.6666667,21.11111111,216.6666667,800,26.8461113,80.76248932
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.7.hdf,7743.555556,217,0,0,688.1111111,26.84685135,80.98316193
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.8.hdf,5100.666667,170,138.8888889,131.7777778,790.5555556,26.84679604,80.85467529
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.9(Part 1).hdf,7028.888889,124.2222222,12.22222222,157.3333333,666.6666667,26.84671021,80.86688232
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.9(Part 2).hdf,4817.444444,151.4444444,52.22222222,148.1111111,700,26.8465004,72.77584839
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.10.hdf,5646.666667,289.3333333,63.33333333,199.3333333,283.4444444,26.84644127,80.93211365
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.11.hdf,6567,268.4444444,46.66666667,258.2222222,70.11111111,26.84639549,80.92868042
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.12.hdf,6481.333333,500.6666667,0,500.6666667,402.5555556,26.84677696,80.91532898
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.13(Part 1).hdf,3166.111111,322.6666667,127.5555556,-0.222222222,399.7777778,26.84609032,81.30596924
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.13(Part 2).hdf,4830.222222,251.2222222,32.22222222,251.2222222,800,26.84781647,79.31528473
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.14(Part 2).hdf,3730.777778,160.5555556,-0.222222222,79.11111111,-0.222222222,26.41990852,80.92474365
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.14(Part 1).hdf,7520.111111,306.6666667,0,224.8888889,0,26.84682846,80.93896484
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.15.hdf,4945.888889,566.5555556,3.333333333,566.5555556,496.7777778,26.84693909,81.09149933
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.16.hdf,7493.333333,752.8888889,83.33333333,351,0,26.84693718,81.00737762
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.17(Part 2).hdf,5314.333333,460.6666667,112.2222222,460.6666667,283.2222222,26.84609604,81.05072784
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.17(Part 1).hdf,5485.888889,464.7777778,0,510.7777778,695.7777778,26.87610626,80.85251617
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.18(Part 2).hdf,6810.111111,612.8888889,103.3333333,559,461.6666667,26.84654999,81.03490448
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.18(Part 1).hdf,6811.666667,309,352.2222222,0,176.1111111,26.84384155,80.95283508
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.19.hdf,5969.555556,443.7777778,120,230.7777778,127.1111111,26.84579849,80.94683838
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.20.hdf,6410.111111,351.6666667,4.444444444,383.1111111,0,26.84664536,81.04473877
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.21.hdf,7051.444444,465.6666667,2.222222222,0,279.4444444,26.8465023,80.90699768
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.22(Part 1).hdf,3159.444444,435.7777778,128.6666667,-0.222222222,399.7777778,26.84612656,82.74117279
22,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.22(Part 2).hdf,4857.555556,375,0,375,800,26.8461132,80.25976563
23,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.23.hdf,7734,670.3333333,221.1111111,0,679.8888889,26.84719086,80.94821167
24,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.24.hdf,5113.111111,323.6666667,110,325,533.6666667,26.8461647,81.01672363
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.25(Part 2).hdf,4861.555556,56.55555556,0,56.55555556,666.6666667,26.84671211,72.83792114
25,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.25(Part 1).hdf,7090.666667,205.5555556,0,225.8888889,402.4444444,26.84676552,81.03019714
26,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.26.hdf,5657.111111,239.1111111,21.11111111,241.1111111,551.5555556,26.84645462,80.93130493
27,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.27.hdf,6584.666667,261.4444444,0,344.6666667,278.7777778,26.84692192,81.03866577
28,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.28.hdf,6417.888889,289.6666667,4.444444444,289.6666667,375.6666667,26.84716797,80.99328613
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.29(Part 2).hdf,4864,241.1111111,236.6666667,166.4444444,800,26.8503952,79.51698303
29,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.29(Part 1).hdf,3155.555556,379.3333333,92,-0.222222222,399.7777778,26.84717941,81.33125305
30,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.30(Part 2).hdf,7607.333333,0,444.4444444,0,0,26.84727478,80.96498108
30,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.30(Part 1).hdf,3769,-0.222222222,222,-0.222222222,-0.222222222,26.83704376,80.9090271
31,/Users/nimishmishra/Downloads/Kanpur MODIS Data/2018.5.31.hdf,4939.333333,394,46.66666667,236.8888889,800,26.84723854,80.99299622
