Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.1.hdf,6277.111111,215.6666667,0,240,333.8888889,26.8469429,81.00154877
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.2.hdf,5053.666667,352.1111111,0,346.1111111,404.7777778,26.8464241,80.9445343
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.3.hdf,6113.777778,384.8888889,0,331.4444444,800,26.84687424,80.94825745
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.4.hdf,5609.555556,422.8888889,0,365.6666667,434.5555556,26.84658813,80.95940399
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.5.hdf,2977.222222,190.3333333,2,144.5555556,399.7777778,26.84609032,81.16381836
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.5(Part 2).hdf,4368.666667,353.4444444,1.111111111,0,800,26.84641266,79.22631073
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.6.hdf,6135.222222,9.888888889,33.33333333,0,666.6666667,26.84650803,80.96698761
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.7.hdf,4453.111111,90.44444444,4.444444444,154.6666667,724.5555556,26.84709549,80.89885712
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.8.hdf,6265.555556,425.2222222,0,395.1111111,538.4444444,26.84456825,80.91619873
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.8(Part 2).hdf,4329.111111,34.44444444,0,34.44444444,666.6666667,26.84727287,71.92671967
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.9.hdf,4746.555556,570.6666667,0,411.7777778,800,26.84720612,80.97598267
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.9(Part 2).hdf,2376.444444,203.6666667,2,275.1111111,399.7777778,26.84825897,80.89357758
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.10.hdf,6099.333333,373.8888889,0,366.3333333,800,26.84697914,80.95767975
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.11.hdf,5217.444444,442.8888889,7.777777778,418.4444444,547.7777778,26.8464222,80.98492432
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.12.hdf,5906.111111,359.4444444,62.22222222,311.2222222,800,26.84692383,80.76976776
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.13(Part 2).hdf,5846.333333,345.3333333,3.333333333,330.7777778,23.55555556,26.84708786,80.91150665
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.13.hdf,5865.777778,41.55555556,295.5555556,32.55555556,566.6666667,26.84854126,80.902565
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.14.hdf,4333,101.8888889,4.444444444,170.8888889,610.6666667,26.84664536,80.37585449
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.15.hdf,6215.333333,457.5555556,0,426.6666667,517.3333333,26.84651756,80.95118713
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.16.hdf,4531.222222,393.4444444,60,629.7777778,800,26.84635544,80.89536285
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.17.hdf,6070.888889,30.55555556,42.22222222,70.88888889,666.6666667,26.8468895,80.96229553
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.17(Part 2).hdf,3042,142.6666667,-0.222222222,124.4444444,108.4444444,26.84669495,80.87962341
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.18.hdf,4903.444444,394.7777778,8.888888889,313.5555556,800,26.84677124,81.00919342
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.19.hdf,5979.888889,412.6666667,0,377,800,26.84652328,80.83895874
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.20.hdf,5483.111111,556.5555556,0,563.8888889,800,26.84705544,80.92712402
21,/Users/nimishmishra/Downloads/Kanpur MODIS Data/November/2018.11.21(Part 2).hdf,4276.888889,140.7777778,2.222222222,217.4444444,409.5555556,26.84713936,79.06318665
