Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.1.hdf,5263.111111,118.5555556,15.55555556,158.1111111,723.6666667,26.84704971,80.90267944
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.2.hdf,6334.444444,8.444444444,150,20.55555556,666.6666667,26.84674072,81.05584717
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.3.hdf,6013.666667,156.4444444,4.444444444,260.6666667,257.4444444,26.8469944,80.945961
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.4(Part 1).hdf,3086.222222,37.66666667,26.44444444,51.11111111,399.7777778,26.84663391,81.30530548
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.4(Part 2).hdf,4531.666667,183.4444444,193.3333333,86.33333333,791.5555556,26.84690094,79.20845032
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.5.hdf,6646.666667,162.4444444,0,287.5555556,776.6666667,26.84715271,80.93535614
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.6.hdf,4607.777778,113.8888889,87.77777778,169.3333333,800,26.84680557,80.95480347
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.7.hdf,6751.777778,289.3333333,1.111111111,262.8888889,384.1111111,26.84841728,80.96317291
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.8(Part 1).hdf,4969.555556,106.8888889,0,143.7777778,800,26.84628296,80.87410736
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.8(part 2).hdf,5006.444444,194,0,252.3333333,681.8888889,26.84748459,80.89632416
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.9(Part 2).hdf,6409.444444,244.1111111,1.111111111,262.4444444,0,26.8467083,80.9567337
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.9(Part 1).hdf,3251.444444,100.8888889,-0.222222222,102,-0.222222222,26.71282196,81.04290009
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.10.hdf,5564.666667,377.1111111,0,429.3333333,349.1111111,26.84664536,80.89516449
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.11.hdf,6192,400,0,423.7777778,800,26.84678459,80.90244293
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.12.hdf,6265.555556,0,444.4444444,0,0,26.84679985,80.89755249
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.13.hdf,3062.333333,132.2222222,199.7777778,-0.222222222,199.7777778,26.84715462,82.63802338
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.13(Part 2).hdf,4517.888889,127.3333333,171.1111111,26.44444444,747.1111111,26.84701729,80.13243103
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.14.hdf,6659.555556,182.8888889,0,179.6666667,451.8888889,26.847435,80.89185333
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.15.hdf,4749.333333,219,0,319.8888889,736,26.84636879,80.98948669
16,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.16.hdf,6476.444444,258.8888889,0,317,288.6666667,26.84693527,80.93523407
17,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.17.hdf,5206.555556,290.8888889,0,339.1111111,281.8888889,26.84646416,80.88537598
18,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.18.hdf,6187.111111,122.3333333,12.22222222,156.4444444,800,26.84645844,80.94036865
19,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.19.hdf,5770.555556,173.2222222,0,156.7777778,28.55555556,26.84700584,80.9125061
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.20(Part 1).hdf,4476.444444,161.1111111,5.555555556,272.8888889,767.7777778,26.84648132,78.7978363
20,/Users/nimishmishra/Downloads/Kanpur MODIS Data/October/2018.10.20.hdf,3024.222222,173.8888889,-0.222222222,180.2222222,399.7777778,26.84743309,81.24099731
