Date,File Name,Scattering_angle,Deep Blue AOD,Cloud Fraction,Combined AOD,Angstrom Exponent,Latitude,Longitude
1,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.1.hdf,6253.111111,0,444.4444444,0,0,26.84680939,80.94710541
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.2(Part 1).hdf,3201.222222,-0.222222222,222,-0.222222222,-0.222222222,26.84660912,81.19975281
2,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.2(Part 2).hdf,4629.888889,0,444.4444444,0,0,26.85245514,79.37750244
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.3(Part 2).hdf,3541.888889,-0.222222222,222,-0.222222222,-0.222222222,26.83682632,80.95637512
3,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.3(Part 1).hdf,7146.444444,0,444.4444444,0,0,26.84661865,80.92675018
4,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.4.hdf,4705.444444,0,444.4444444,0,0,26.84671021,81.12418365
5,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.5.hdf,7223.333333,0,444.4444444,0,0,26.84636879,80.90744019
6,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.6.hdf,5111.444444,0,444.4444444,0,0,26.84666061,80.98406219
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.7(Part 1).hdf,6798.888889,0,444.4444444,0,0,26.84725571,80.96408081
7,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.7(Part 2).hdf,6698.222222,0,444.4444444,0,0,26.84532547,80.93070984
8,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.8.hdf,5747.333333,0,444.4444444,0,0,26.84695435,80.98609161
9,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.9.hdf,6391,0,444.4444444,0,0,26.84658813,80.82981873
10,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.10.hdf,6607.111111,0,444.4444444,0,0,26.84676933,80.96161652
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.11(Part 2).hdf,4624.111111,80.77777778,392.2222222,0,400,26.84642601,80.10661316
11,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.11(Part 1).hdf,3175.222222,-0.222222222,222,-0.222222222,-0.222222222,26.846735,82.86294556
12,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.12.hdf,7204,0,444.4444444,0,0,26.84610939,80.92816162
13,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.13.hdf,4851,223.3333333,265.5555556,0,800,26.84726334,81.03800964
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.14(Part 2).hdf,4602.777778,0,444.4444444,0,0,26.84738922,72.90389252
14,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.14(part 1).hdf,6839.666667,38.33333333,422.2222222,0,144.1111111,26.8470993,81.00953674
15,/Users/nimishmishra/Downloads/Kanpur MODIS Data/September/2018.9.15.hdf,5396.777778,0,444.4444444,0,0,26.84715652,80.98574066
